,Date,Open,High,Low,Close,Adj Close,Volume
16,2015-01-27,28.105,28.120001,27.2575,27.285,24.702991,382274800
78,2015-04-27,33.077499,33.282501,32.787498,33.162498,30.142799,387816800
137,2015-07-21,33.212502,33.23,32.580002,32.6875,29.835148,307025600
206,2015-10-27,28.85,29.135,28.497499,28.637501,26.256874,279537600
267,2016-01-26,24.9825,25.219999,24.5175,24.997499,23.017569,300308000
330,2016-04-26,25.977501,26.325001,25.977501,26.0875,24.151581,224064800
393,2016-07-26,24.205,24.4925,24.105,24.1675,22.510286,224959200
457,2016-10-25,29.487499,29.59,29.327499,29.5625,27.684502,192516000
523,2017-01-31,30.2875,30.3475,30.155001,30.3375,28.556133,196804000
586,2017-05-02,36.884998,37.022499,36.709999,36.877499,34.862617,181408800
649,2017-08-01,37.275002,37.555,37.102501,37.512501,35.609295,141474400
715,2017-11-02,41.650002,42.125,41.32,42.0275,40.051891,165573600
776,2018-02-01,41.7925,42.154999,41.689999,41.945,40.116974,188923200
837,2018-05-01,41.602501,42.299999,41.317501,42.275002,40.597443,214277600
900,2018-07-31,47.575001,48.035,47.334999,47.572498,45.860889,157492000
966,2018-11-01,54.762501,55.59,54.202499,55.555,53.744019,233292800
1024,2019-01-29,39.0625,39.532501,38.5275,38.669998,37.539963,166348800
1087,2019-04-30,50.764999,50.849998,49.7775,50.1675,48.910343,186139600
1150,2019-07-30,52.189999,52.540001,51.827499,52.195,51.083,135742800
1215,2019-10-30,61.189999,61.325001,60.302502,60.814999,59.745506,124522000
1275,2020-01-28,78.150002,79.599998,78.047501,79.422501,78.260017,162234000
1340,2020-04-30,72.489998,73.6325,72.087502,73.449997,72.5467,183064000
1403,2020-07-30,94.1875,96.297501,93.767502,96.190002,95.264236,158130000
1467,2020-10-29,112.370003,116.93,112.199997,115.32,114.416039,146129200
